UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
RegN,16386007,4.0542741538815115,0,1.1270556103750236,5.175077080895234,6.591115325956627,10.0,9.0,22.0,6.0,3.0,9.0,"2011, 2012, 2014, 2015",2017,Regional Norte,Regional,sragflu,casos
RegS,95859350,44.93291215323308,0,16.810454827211135,48.015552435080686,60.55688692551285,18.0,8.0,22.0,12.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Regional Sul,Regional,sragflu,casos
11,1805788,0.05792194574179259,1,0.02768874308612085,0.1107549723444834,0.16613245851672512,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rondônia,Estado,obitoflu,incidência
12,829619,0.15132141501445728,1,0.06026862933467049,0.241074517338682,0.36161177600802297,,,,,,,"2011, 2013, 2015, 2016",2017,Acre,Estado,obitoflu,incidência
13,4063614,0.03696760590911841,1,0.012304318274324284,0.049217273097297135,0.07382590964594571,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,obitoflu,incidência
14,522636,0.2822895286282758,1,0.09566887853113833,0.554666733309957,0.7930773248819255,,,,,,,"2013, 2016",2017,Roraima,Estado,obitoflu,incidência
15,8366628,0.0482960087305134,1,0.005976123236266749,0.059860679062013526,0.07518909667284747,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Pará,Estado,obitoflu,incidência
16,797722,0.17178170327531647,1,0.06267847696315257,0.25071390785261033,0.37607086177891547,,,,,,,"2010, 2013, 2016",2017,Amapá,Estado,obitoflu,incidência
17,1550194,0.06902698920665568,1,0.03225402756042147,0.12901611024168588,0.1935241653625288,,,,,,,"2010, 2011, 2012, 2013",2017,Tocantins,Estado,obitoflu,incidência
21,7000229,0.018723891264826764,1,0.007142623477031966,0.030667028312356237,0.042855740862191787,,,,,,,"2010, 2012, 2014",2017,Maranhão,Estado,obitoflu,incidência
22,3218485,0.031378400968443486,1,0.015535259601955578,0.06214103840782231,0.09321155761173347,,,,,,,"2010, 2013, 2014, 2015, 2016",2017,Piauí,Estado,obitoflu,incidência
23,9021232,0.02334084520161637,1,0.005542480228864528,0.027504351174408196,0.034586346558628245,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Ceará,Estado,obitoflu,incidência
24,3507003,0.03323937119722799,1,0.014257187689887919,0.057028750759551675,0.08554312613932752,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,obitoflu,incidência
25,4025558,0.03994586976544204,1,0.012420638331381635,0.08699242182622391,0.11639794759122513,,,,,,,"2010, 2012, 2015, 2016",2017,Paraíba,Estado,obitoflu,incidência
26,9473707,0.013083059276810749,1,0.005277765081820664,0.023816740709010187,0.03166659049092398,,,,,,,"2010, 2011, 2012, 2013, 2014, 2016",2017,Pernambuco,Estado,obitoflu,incidência
27,3375382,0.03777109143981354,1,0.014813138187025943,0.06243993493673439,0.08887882912215568,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Alagoas,Estado,obitoflu,incidência
28,2288116,,1,0.021852038970052216,0.08740815588020888,0.13111223382031328,,,,,,,,2017,Sergipe,Estado,obitoflu,incidência
29,15344447,0.010045837952429536,1,0.0032585077846076825,0.02038442787840511,0.025934904754054244,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Bahia,Estado,obitoflu,incidência
31,21119536,0.007632372707234376,0,0.004834648651941749,0.011267502705123,0.01420657834239214,8.0,2.0,17.0,6.0,1.0,13.0,"2010, 2011, 2014, 2015",2017,Minas Gerais,Estado,obitoflu,incidência
32,4016356,0.03099404915512125,1,0.012449095647895756,0.04979638259158302,0.07469457388737452,,,,,,,"2010, 2013, 2014, 2015",2017,Espírito Santo,Estado,obitoflu,incidência
33,16718956,0.010638893040156036,1,0.0029906173567296906,0.013971136247864724,0.018308008510627527,,,,,,,"2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,obitoflu,incidência
35,45094866,0.0126729544172285,0,0.004270248264716498,0.01776102063851881,0.022632845124132883,17.0,17.0,49.0,8.0,3.0,11.0,"2010, 2011, 2012, 2014, 2015",2017,São Paulo,Estado,obitoflu,incidência
41,11320892,0.024009199825152285,0,0.010635833742084336,0.046058778042907145,0.05865078670876999,22.0,1.0,24.0,8.0,5.0,11.0,"2010, 2011, 2013, 2014, 2015",2017,Paraná,Estado,obitoflu,incidência
42,7001161,0.02377404606004295,1,0.00714167264543695,0.03264404592492553,0.0428500358726217,,,,,,,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,obitoflu,incidência
43,11322895,0.05348321496621356,1,0.0044158318168630905,0.07474766192244875,0.09677242168102862,,,,,,,"2011, 2012, 2013, 2014",2017,Rio Grande do Sul,Estado,obitoflu,incidência
50,2713147,0.10112673822461006,1,0.01842878399143135,0.0975772385070588,0.12629065864824818,,,,,,,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,obitoflu,incidência
51,3344544,0.05694032850274368,1,0.014949721098003197,0.06900500474067472,0.08969832658801917,,,,,,,"2010, 2014, 2016",2017,Mato Grosso,Estado,obitoflu,incidência
52,6778772,0.0346361850295448,1,0.007375967210580324,0.03728263230987272,0.04568163977351092,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Goiás,Estado,obitoflu,incidência
53,3039444,0.054225924972000086,1,0.01645037710844484,0.07691362730743068,0.09870226265066902,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Distrito Federal,Estado,obitoflu,incidência
BR,207660929,0.01265966196856058,0,0.004085554902209014,0.023653105425450502,0.04420656404889533,16.0,5.0,21.0,12.0,11.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Brasil,País,obitoflu,incidência
RegC,27644815,0.015483492980272481,0,0.003785660942491193,0.016106857816981842,0.0199215598898852,15.0,7.0,20.0,10.0,5.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,obitoflu,incidência
RegL,67770757,0.004089240781947565,0,0.001855410473054989,0.005542517208040332,0.007039185877296017,16.0,8.0,30.0,8.0,3.0,17.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,obitoflu,incidência
